metabolite_id,metabolite_name,concentration,unit,condition,replicate
utp_c,UTP,1633.4820369522542,μM,lactose_minimal,1
cmp_c,CMP,101.65096301541688,μM,lactose_minimal,1
cdp_c,CDP,476.6174549969241,μM,lactose_minimal,1
ctp_c,CTP,826.0239739544721,μM,lactose_minimal,1
nad_c,NAD+,1835.3875668917563,μM,lactose_minimal,1
nadh_c,NADH,434.5827958980787,μM,lactose_minimal,1
nadp_c,NADP+,545.958672811215,μM,lactose_minimal,1
nadph_c,NADPH,1491.9913082388587,μM,lactose_minimal,1
fad_c,FAD,202.5877995021154,μM,lactose_minimal,1
fadh2_c,FADH2,120.9148209379217,μM,lactose_minimal,1
coa_c,Coenzyme A,520.0208533482389,μM,lactose_minimal,1
ac_c,Acetate,114.55897269498804,μM,lactose_minimal,1
lac__L_c,L-Lactate,43.2047169991624,μM,lactose_minimal,1
etoh_c,Ethanol,20.88484949323356,μM,lactose_minimal,1
for_c,Formate,40.36624121246731,μM,lactose_minimal,1
h2o2_c,Hydrogen peroxide,8.778144243096754,μM,lactose_minimal,1
nh4_c,Ammonium,15.353967517931926,μM,lactose_minimal,1
pi_c,Inorganic phosphate,11.351715722233651,μM,lactose_minimal,1
so4_c,Sulfate,6.669577907308449,μM,lactose_minimal,1
cl_c,Chloride,10.37994891194748,μM,lactose_minimal,1
k_c,Potassium,8.760279405462324,μM,lactose_minimal,1
mg2_c,Magnesium,11.858818404175125,μM,lactose_minimal,1
ca2_c,Calcium,8.534194240673349,μM,lactose_minimal,1
fe2_c,Iron(II),9.773139983043102,μM,lactose_minimal,1
fe3_c,Iron(III),11.062738271736482,μM,lactose_minimal,1
zn2_c,Zinc,11.890456835956781,μM,lactose_minimal,1
mn2_c,Manganese,7.865812300390855,μM,lactose_minimal,1
cu2_c,Copper,9.352884943594496,μM,lactose_minimal,1
co2_c,Cobalt,9.093828810326368,μM,lactose_minimal,1
ni2_c,Nickel,8.77510948747575,μM,lactose_minimal,1
mo_c,Molybdenum,14.23460456175156,μM,lactose_minimal,1
