metabolite_id,metabolite_name,concentration,unit,condition,replicate
pro__L_c,L-Proline,7.667172345651537,μM,glucose_minimal,1
ser__L_c,L-Serine,10.401576073224991,μM,glucose_minimal,1
thr__L_c,L-Threonine,11.591573468322645,μM,glucose_minimal,1
trp__L_c,L-Tryptophan,,μM,glucose_minimal,1
tyr__L_c,L-Tyrosine,9.771357835758215,μM,glucose_minimal,1
val__L_c,L-Valine,9.41556672254283,μM,glucose_minimal,1
amp_c,AMP,148.80146510325602,μM,glucose_minimal,1
adp_c,ADP,692.7317824703869,μM,glucose_minimal,1
atp_c,ATP,2735.9658951951237,μM,glucose_minimal,1
gmp_c,GMP,61.77183094948921,μM,glucose_minimal,1
gdp_c,GDP,214.2280334274564,μM,glucose_minimal,1
gtp_c,GTP,562.282108628071,μM,glucose_minimal,1
ump_c,UMP,106.69635322270281,μM,glucose_minimal,1
udp_c,UDP,277.76238516340135,μM,glucose_minimal,1
utp_c,UTP,1048.0561437377603,μM,glucose_minimal,1
cmp_c,CMP,56.506646205854196,μM,glucose_minimal,1
cdp_c,CDP,184.3498292763632,μM,glucose_minimal,1
ctp_c,CTP,722.83839638805,μM,glucose_minimal,1
nad_c,NAD+,1690.9722779715037,μM,glucose_minimal,1
nadh_c,NADH,188.0061906689191,μM,glucose_minimal,1
nadp_c,NADP+,427.39867100332526,μM,glucose_minimal,1
nadph_c,NADPH,972.3547948072671,μM,glucose_minimal,1
fad_c,FAD,90.86140634993912,μM,glucose_minimal,1
fadh2_c,FADH2,48.17745678506416,μM,glucose_minimal,1
coa_c,Coenzyme A,400.7513273388262,μM,glucose_minimal,1
ac_c,Acetate,39.361244127386826,μM,glucose_minimal,1
lac__L_c,L-Lactate,23.52908788413652,μM,glucose_minimal,1
etoh_c,Ethanol,13.116003144244079,μM,glucose_minimal,1
for_c,Formate,29.571035662490097,μM,glucose_minimal,1
h2o2_c,Hydrogen peroxide,,μM,glucose_minimal,1
nh4_c,Ammonium,10.750070342101573,μM,glucose_minimal,1
pi_c,Inorganic phosphate,8.789529135616597,μM,glucose_minimal,1
so4_c,Sulfate,10.749553449137142,μM,glucose_minimal,1
cl_c,Chloride,13.601667646451103,μM,glucose_minimal,1
k_c,Potassium,9.928604010787069,μM,glucose_minimal,1
mg2_c,Magnesium,13.67424072831152,μM,glucose_minimal,1
ca2_c,Calcium,5.921774035576588,μM,glucose_minimal,1
fe2_c,Iron(II),11.786627119728978,μM,glucose_minimal,1
fe3_c,Iron(III),10.175618407601759,μM,glucose_minimal,1
zn2_c,Zinc,9.41951520569994,μM,glucose_minimal,1
mn2_c,Manganese,10.185215910257401,μM,glucose_minimal,1
cu2_c,Copper,6.719886806174143,μM,glucose_minimal,1
co2_c,Cobalt,9.570167571800365,μM,glucose_minimal,1
ni2_c,Nickel,10.74034925131485,μM,glucose_minimal,1
mo_c,Molybdenum,13.43903997271762,μM,glucose_minimal,1
